Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
"Divertimento in E-Flat Major, K. 166: I. Allegro",Serenade & Divertimenti,,Alliance,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (interior),,,00:03:10.017,Lowell Graham & National Chamber Players,3,
"Trio for Flute, Clarinet and Bassoon in B flat major KV 439 b: Allegro","Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",,Arte Nova Records,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (interior),,,00:01:50.866,Europa Symphony Soloists,6,
"The Nutcracker Suite, Op. 71a: I. Overture Miniature",Dances from Renaissance to Nutcracker,,Delos,1,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,This loop plays in the Grand Californian during the holiday season. Tracklist compiled by C33 in 2009. See MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg36296#msg36296 (2009) and https://mousebits.com/smf/index.php?topic=4845.msg47829#msg47829 (2010).,00:47:43.101, 2:52.484,LA Guitar Quartet,1,
"The Nutcracker Suite, Op. 71a: VIII. Waltz of the Flowers",Dances from Renaissance to Nutcracker,,Delos,8,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,5:11.289,LA Guitar Quartet,8,
"The Nutcracker Suite, Op. 71a: V. Arabian Dance",Dances from Renaissance to Nutcracker,,Delos,5,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,3:23.425,LA Guitar Quartet,5,
Winter Wonderland,HSQ Does Christmas (again),,Mona Lisa Sound,9,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,4:19.896,The Hampton String Quartet,12,
White Christmas,HSQ Does Christmas (again),,Mona Lisa Sound,7,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,3:41.573,The Hampton String Quartet,10,
"The Nutcracker Suite, Op. 71a: VI. Chinese Dance",Dances from Renaissance to Nutcracker,,Delos,6,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,0:58.954,LA Guitar Quartet,6,
Frosty the Snowman,HSQ Does Christmas (again),,Mona Lisa Sound,1,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,5:28.323,The Hampton String Quartet,14,
Let It Snow! Let It Snow! Let It Snow!,HSQ Does Christmas (again),,Mona Lisa Sound,10,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,2:28.364,The Hampton String Quartet,13,
"The Nutcracker Suite, Op. 71a: II. March",Dances from Renaissance to Nutcracker,,Delos,2,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,, 2:35.393,LA Guitar Quartet,2,
Rudolph the Red-Nosed Reindeer,HSQ Does Christmas (again),,Mona Lisa Sound,5,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,3:22.197,The Hampton String Quartet,9,
"The Nutcracker Suite, Op. 71a: III. Dance of the Sugar-Plum Fairy",Dances from Renaissance to Nutcracker,,Delos,3,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,1:53.169,LA Guitar Quartet,3,
The Little Drummer Boy,HSQ Does Christmas (again),,Mona Lisa Sound,8,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,4:09.638,The Hampton String Quartet,11,
Have Yourself a Merry Little Christmas,HSQ Does Christmas (again),,Mona Lisa Sound,2,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,2:47.436,The Hampton String Quartet,15,
"The Nutcracker Suite, Op. 71a: IV. Russian Dance",Dances from Renaissance to Nutcracker,,Delos,4,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,0:59.732,LA Guitar Quartet,4,
"The Nutcracker Suite, Op. 71a: VII. Dance of the Reed Pipes",Dances from Renaissance to Nutcracker,,Delos,7,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,2:24.262,LA Guitar Quartet,7,
We Wish You a Merry Christmas,HSQ Does Christmas (again),,Mona Lisa Sound,11,Disney's Grand Californian Hotel & Spa,,Christmas,Grand Californian Holiday,,,1:06.933,The Hampton String Quartet,16,"The loop track starts at around 1:25.719 of the album track and has about 0.6 secs. of silence removed before the final note, between 2:26.815 and 2:27.416 of the album track."
 Kentucky Slide,"Country, USA",,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,"This loop plays in the Storyteller’s Cafe restaurant during the Character Breakfast. Compiled by StarWarsGalaxysEdge (MouseBits; 2022). See https://mousebits.com/smf/index.php?topic=10787.msg98737#msg98737. This plays throughout the entire day, during character breakfast/brunch and dinner at Storyteller’s Cafe as of 2022.",~01:01:00,,Jeremy Sherman,1,
Perfect Moment,Perfect Moment,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,"This loop plays inside the Napa Rose restaurant and from one speaker near the outdoor fireplace. The tracklist was compiled by C33 and posted 05/2010 on Magic Music discussion board. See MouseBits, https://mousebits.com/smf/index.php?topic=6806.msg56731#msg56731",00:57:44,,Peter White,1,
 Country Banjo Funk,Plan B,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,Mike Eaves,17,
 Rough Rider,Stomping Country,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,"Dave James, Keith Beauvais",26,
 Sour Apples,Folk & Nu Folk,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,"Duncan Pittock, Ellie Kidd, Igor Dvorkin",23,
 Old Kent Road,Old Timer Country,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,Jeremy Sherman,10,
 Rough Rider,Stomping Country,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,"Dave James, Keith Beauvais",14,
" Bare Necessities (""Jungle Book"")",Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Character Breakfast,,,,Pickin' On Series,20,
