Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
You've Got a Friend in Me (Instrumental),Woody's Roundup,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,1:59.311,Riders In The Sky,14,
Rainbow,Foundation: The Doc Watson Guitar Instrumental Collection 1964-1998,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:29.034,Doc Watson,19,
Ghost Riders in the City,Best Ultimate Collection: Ennio Morricone Western,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:04.753,High School Music Band,16,The loop version sounds like it is cut short and it runs faster than the album version. Next track cuts in.
Howlin' at the Moon,,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:40.022,Hank Williams,11,
The Prospector Polka,Woody's Roundup,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:08.476,Riders In The Sky,12,
Stone's Rag,Foundation: The Doc Watson Guitar Instrumental Collection 1964-1998,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:33.348,Doc Watson,13,
Home on the Range,Woody's Roundup,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:29.034,Riders In The Sky,20,
Back in the Saddle Again,,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:34.154,Gene Autry,2,Gap following this track
I'm an Old Cowhand (From the Rio Grande),,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:45.464,The Sons of the Pioneers,17,Gap following this track
Act Naturally,Woody's Roundup,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween,,,2:18.884,Riders In The Sky,3,Gap following this track
La Casita,Mexico Lindo,,,,,,Frontierland,Casa De Fritos [PRE],,Unknown,,Mariachi Azteca De Raul Marquez,1,
Fermin,Tijuana Town,,,,,,Frontierland,Casa De Fritos [PRE],,,,Los Tres Caballeros,4,
Perdoname,Tijuana Town,,,,,,Frontierland,Casa De Fritos [PRE],,,,Los Tres Caballeros,3,
Las Alteñitas,Mexico Lindo,,,,,,Frontierland,Casa De Fritos [PRE],,,,Mariachi Azteca De Raul Marquez,2,
Andalucia,Tijuana Town,,,,,,Frontierland,Casa De Fritos [PRE],,,,Los Tres Caballeros,5,
Recuerdos de la Alhambra,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,1,,,Frontierland,Rancho Del Zocalo Restaurante [REF],"This loop could be heard in the exterior Rancho Del Zocalo Restaurante seating area, entrance and restrooms. It was installed sometime after 1996 (the album’s release date) and seemed to be largely missing after 2018, but returned in 2024. See MouseBits, https://mousebits.com/smf/index.php?topic=5419.msg55058#msg55058 (2010). Tracklist compiled by pixelated. Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time. It plays from a single speaker in the dining area and in the adjacent bathrooms. All songs are verified as coming from the same album. The album's runtime is listed at 63:51, which is almost 2 mins. longer than the loop. To bring down the album's runtime to match the loop's runtime, the gap between each track was shortened by several secs.",01:02:00, 4:40.732,Eduardo Fernández,1,"Starts with 7 second silent gap. 
The album track runs over 5 millisecs. slower than the loop track."
Andaluza (Danzas españolas Op.37 No. 5),Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,13,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 4:06.083,Eduardo Fernández,13,
Three Mazurcas,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,5,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,,5:26.456,Eduardo Fernández,5,"In order, the mazurcas are 1) Adelita 2) Sueño (Mazurka in G) 3) Marieta"
"Romance ""Jeux interdits”",Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,3,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 2:20.273,William Gómez,3,
Six Canciones catalanas,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,14,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,,7:23.663,Eduardo Fernández,14,The album track runs about 6 millisecs. slower than the loop track. The canciones are 1) El Noi de la Mare 2) El Testament d'Amèlia  3) Cançó del Lladre 4) Lo Rossinyol 5) L'hereu Riera 6) La Nit de Nadal
Neblina,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,6,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 1:47.810,Eduardo Fernández,6,
Tango,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,2,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 2:31.856,Eduardo Fernández,2,The 5:08 time listed in the CD booklet and on the back of the CD jewel box insert is wrong.
Minuetto,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,11,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 1:52.177,Eduardo Fernández,11,The album track runs about 2 millisecs. slower than the loop track.
Granada (from Suite Española),Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,4,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 5:01.565,Nicola Hall,4,The album track runs about 5-6 millisecs. slower than the loop track.
Habanera,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,9,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 3:34.590,William Gómez,9,
5 Preludios,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,12,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,,5:35.541,Eduardo Fernández,12,"These are: 1) Preludio No. 6 en re menor 2) Preludio No. 15 en la menor 3) Preludio No. 5 en sol 4) Preludio No. 16 en sol 5) Prelude, for guitar in E major (Andante Sostenuto). The album track runs about 5 millisecs. slower than the loop track."
La maja de Goya,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,8,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 4:42.916,John Williams,8,The album track runs about 5 millisecs. slower than the loop track.
Cádiz (Saeta) from Suite española Op. 47,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,16,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 4:08.734,Eduardo Fernández,16,
Estudio sin luz,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,15,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 2:45.945,Eduardo Fernández,15,The album track runs over 2 millisecs. slower than the loop track.
Sonatina - II. Andante,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,10,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 4:00.648,Eduardo Fernández,10,The album track runs about 4 millisecs. slower than the loop track. The last 16.874 of the album track is deleted; the result is that the very last note is not played.
Lágrima,Day's End (Al Fin Del Día): The Soft Sounds of Spanish Guitar,,London,7,,,Frontierland,Rancho Del Zocalo Restaurante [REF],,, 1:52.844,Timothy Walker,7,0.195 secs. of silence was deleted between 45.173 secs. and 45.368 secs. on the album track.
Polka Medley: Good King Wenceslas/Under The Double Eagle/Redwing/Golden Slippers,Cowboy Christmas,,Warner Bros. Records,11,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,1:43.815,Michael Martin Murphey,8,Album track is around 0.298 secs. faster than the recording
Two-Step Medley: Cotton-Eyed Joe/Deck The Halls/Buffalo Gals/Soldier's Joy/The Girl I Left Behind Me/Deck The Halls,Cowboy Christmas,,Warner Bros. Records,15,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,1:53.338,Michael Martin Murphey,12,"Loop track starts at 0:01.222 of album track, album track is around 0.269 secs. faster than the recording"
Deck The Halls,An Old Fashioned Christmas,,,2,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,1:28.273,The Trail Band,3,
Here Comes Santa Claus,Rudolph The Red Nosed Reindeer and other Christmas Classics,,Columbia/Legacy,1,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,2:28.829,Gene Autry,5,Album track is around 0.168 secs. faster than the recording
The Santa Claus Schottische: Up on The House Top/The Sweetheart Schottische/Oh Susannah/Up On The House Top,Cowboy Christmas,,Warner Bros. Records,13,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,1:18.559,Michael Martin Murphey,13,Album track is around 0.254 secs. faster than the recording
Christmas Carols By The Old Corral,"""A Cowboy Christmas"" compilation",,Scotti Bros. Records,4,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,2:31.236,Tex Ritter,9,Album track is around 0.455 secs. faster than the recording
Christmas On The Plains,"""A Cowboy Christmas"" compilation",,Scotti Bros. Records,1,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,2:31.568,Roy Rogers and Dale Evans,2,Album track is around 0.482 secs. faster than the recording
A Root'n Toot'n Santa Claus,"""A Cowboy Christmas"" compilation",,Scotti Bros. Records,6,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,1:48.879,Tennessee Ernie Ford,11,Album track is around 0.326 secs. faster than the recording
Christmas Cowboy Style,Cowboy Christmas,,Warner Bros. Records,12,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,3:06.936,Michael Martin Murphey,7,
Auld Lang Syne,Christmas on the Mountain: A Bluegrass Christmas,,,,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,2:44.632,The Groove Grass Boyz,4,
Waltz Medley: O Christmas Tree (O Tannenbaum)/Put Your Little Foot (The Varsouvianna)/The Westfalia Waltz/Over The Waves (The Skaters' Waltz)/O Christmas Tree,Cowboy Christmas,,Warner Bros. Records,17,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",This loop played at Santa's Reindeer Round-up at Big Thunder Ranch in Frontierland. Loop compiled by pixelated from a reference recording ca. 2008. See MouseBits: https://mousebits.com/smf/index.php?topic=3860.msg26197#msg26197.,00:27:46.621,2:27.436,Michael Martin Murphey,1,Album track is around 0.458 secs. faster than the recording
Sleigh Ride,Christmas Remembered,,,,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,3:01.320,Banjomania,6,
Jingle Bells,Merry Christmas From Harmony Ranch,,,,,Christmas,Frontierland,"Big Thunder Ranch Holiday, Santa's Reindeer Roundup",,,00:41.794,Riders In The Sky,10,Edited (edit points unknown)
Sleigh Ride,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],"This is a verified track list for the general Frontierland holiday loop, first heard in 2009 and still in use as of 2025. Tracklist compiled by pixelated based on a 2009 recording. See MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg47143#msg47143 (2010).",00:36:19.515,3:06.497,Banjomania,1,Starts with ~3 sec. silent gap. The loop track starts at around 2.457 secs. of the album track. The album track starts with hoofbeats at a very low volume (below -40 dB) for about the first 3 secs. but the earliest hoofbeat I can see in the loop track's sonogram places the start about 2.5 secs. into the album track. The loop track runs 0.009 secs. faster than the album track.
Silent Night,Christmas Pianos (LP),,,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:33.744,The Nashville Keyboard Section,2,
Let It Snow!,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,3:08.400,Banjomania,6,The loop track runs 0.009 secs. faster than the album track.
Good King Wenceslas,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:20.669,Banjomania,4,The loop track runs 0.033 secs. faster than the album track.
I Saw Three Ships,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,1:30.067,Banjomania,13,The loop track runs 0.005 secs. faster than the album track.
God Rest Ye Merry Gentlemen,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,1:59.889,Banjomania,9,"The loop track starts at 16.351 secs. of the album track and starts to fade out at around 2:12.358 of the album track, fading down to complete silence in about 3 secs. The loop track runs 0.006 secs. faster than the album track."
Santa Is Comin' To Town,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:50.842,Banjomania,10,The loop track runs 0.009 secs. faster than the album track.
Christmas on the Plains,A Cowboy Christmas,,Scotti Bros. Records,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:31.639,Roy Rogers and Dale Evans,5,The loop track runs 0.007 secs. faster than the album track.
Christmas Carols by the Old Corral,A Cowboy Christmas,,Scotti Bros. Records,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:31.675,Tex Ritter,14,The loop track runs 0.007 secs. faster than the album track.
Silver Bells,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:32.441,Banjomania,7,The loop track starts at 25.245 secs. of the album track. The loop track runs 0.008 secs. faster than the album track.
It Came Upon a Midnight Clear,Christmas Pianos (LP),,,,,Christmas,Frontierland,Frontierland Holiday [REF],,,1:55.817,The Nashville Keyboard Section,11,
Parade of the Wooden Soldiers,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:50.633,Banjomania,15,The loop track runs 0.009 secs. faster than the album track.
Here Comes Santa Claus,Rudolph The Red Nosed Reindeer and other Christmas Classics,,Columbia Records/Legacy Recordings,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:29.908,Gene Autry,8,"The loop track runs 0.315 secs. faster than the album track, which runs 2:32.800. 3/10ths of a sec. is a significant difference; the album I have is the 2003 remastered release so other releases of this track may be faster."
A Root'n Toot'n Santa Claus,A Cowboy Christmas,,Scotti Bros. Records,,,Christmas,Frontierland,Frontierland Holiday [REF],,,1:49.089,Tennessee Ernie Ford,3,The loop track runs 0.005 secs. faster than the album track.
It's Beginning to Look A Lot Like Christmas,Christmas Remembered,,Banjomania,,,Christmas,Frontierland,Frontierland Holiday [REF],,,2:05.187,Banjomania,12,"The loop track starts at 58.493 secs. of the album track and ends at or before 3:02.288 of the loop track, before the drum beats start. The loop track runs 0.006 secs. faster than the album track."
Maggie Murphy's Home,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:35.075,,6,
Ben Hur Chariot Race,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:22.855,,14,
Boston Commandry,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:19.545,,15,The loop track starts at 00:00:04.447 of the album track (before the playrate change) to skip over the opening flourish of organ and drums.
Hands Across The Sea,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,"The loop played at the Big Thunder Ranch Halloween Carnival, and was first used in 2012 at the carnival debut. All tracks are from the same album, and have been sped up by using a playrate of 1.0059. Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time. See MouseBits: https://mousebits.com/smf/index.php?topic=8711.msg82713#msg82713 (2014). ",00:39:39.163,00:01:34.913,,1,Starts with 1.7 second silent gap.
Come Take A Trip In My Airship,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:19.357,,13,
With Trumpet and Sword,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:03.686,,7,
Tesora Mio,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:50.004,,8,
Hula Lou,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:01.457,,9,
Impassioned Dream,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:05.000,,10,
Our Director,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:32.808,,5,
Over The Waves,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:09.392,,12,
Helena Polka,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:08.723,,11,
Little Annie Rooney,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:03:30.920,,2,
Just Like A Butteryfly,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:02:10.535,,3,
After The Ball,Come To The Fair: Old Time Wurlitzer Carousel Music Vol. 1,,,,,Halloween,Frontierland,Big Thunder Ranch Halloween Carnival,,,00:01:55.018,,4,
Santa Claus is Comin' to Town,Crescent City Christmas,,GHB Records,1,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:03.430,Lars Edegran & His Santa Claus Revelers,2,"The loop track starts at 00:00:00.294 of the album track.  The section of the album track between 00:00:41.085 and 00:01:40.955 and the section between 00:02:21.203 and 00:03:28.551 are deleted to remove vocals.  This loop track has a section that repeats part of the album track.
The loop track is assembled from these sections of the album track in the order listed:
    00:00:00.294 to 00:00:41.085
    00:01:40.955 to 00:02:21.203
    00:00:00.380 to 00:00:41.107  <- repeated section
    00:03:28.551 to 00:03:30.215"
Let It Snow! Let It Snow! Let It Snow!,Crescent City Christmas,,GHB Records,13,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:00.430,Lars Edegran & His Santa Claus Revelers,4,The loop track starts at 00:00:00.355 of the album track. The section of the album track between 00:01:19.932 and 00:01:56.923 is deleted to omit the breakdown.
I Saw Mommy Kissing Santa Claus,Christmas Time with Magnolia Jazzband,,GHB Records,8,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:44.485,Magnolia Jazzband,11,"The TOC (Table Of Contents) on pixelated’s copy of the CD has an incorrect starting address for this track so a ripped track is missing some audio at its beginning.  I.e., the first ~0.170 secs. of the album track are actually at the end of the preceding album track, ""Mitt Hjerte Alltid Vanker"".  The following album track time indices are based on a repaired track that was created by adding the last 0.200 secs. of ""Mitt Hjerte Alltid Vanker"" to the beginning of ""I Saw Mommy Kissing Santa Claus"".
The loop track starts at 00:00:00.026 of the repaired album track.  The section of the album track between 00:01:31.223 and 00:03:22.595 is deleted to remove applause and the loop track ends at 00:04:35.885 of the album track to omit a final drum & cymbal hit and applause."
It Came Upon the Midnight Clear,Crescent City Christmas,,GHB Records,15,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],"This loop started playing in 2008 on the Rivers of America and was retired at the end of the 2014 holiday season. It likely also played in New Orleans on Royal Street during at least the 2007 holiday season, but whether it was this specific loop is unverified. See MouseBits, https://forums.mousebits.com/threads/roa-xmas-music.3350/post-22113, https://community.magicmusic.net/threads/dl-holiday-loops.3986/post-28791, https://community.magicmusic.net/threads/disneyland-esplanade-christmas-music-loop-2008.3981/post-30520, https://forums.mousebits.com/threads/dl-holiday-music.2428/post-15361, https://forums.mousebits.com/threads/the-dl-christmas-loop-thread.4845/post-35476. Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time. See MouseBits for edit point samples, https://mousebits.com/smf/index.php?topic=8247.msg84350#msg84350 (2014). Edit point samples are available in the post.",00:35:42.374,03:51.556,Lars Edegran & His Santa Claus Revelers,1,Starts with a ~5.3 second silent gap.
Jingle Bells,Winter Wonderland,,Stop Time Records,9,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:05.939,The Side Street Strutters Jazz Band,6,The loop track starts at 00:00:00.296 of the album track.  The section of the album track between 00:01:20.609 and 00:03:11.229 is deleted to omit part of the horn solos.
Frosty the Snowman,Winter Wonderland,,Stop Time Records,12,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:35.290,The Side Street Strutters Jazz Band,7,The loop track starts at 00:00:35.565 of the album track. The loop track ends at 00:03:10.750 of the album track to omit the last note from the tuba.
Silver Bells,Crescent City Christmas,,GHB Records,4,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,03:42.504,Lars Edegran & His Santa Claus Revelers,3,
Rudolph the Red Nosed Reindeer,Winter Wonderland,,Stop Time Records,10,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:59.762,The Side Street Strutters Jazz Band,5,The loop track starts at 00:00:27.967 of the album track. The section of the album track between 00:00:31.080 and 00:01:08.606 is deleted. The loop track stops at 00:04:05.255 of the album track to omit the drum hits at the very end of the track. The end of the loop track continues to hold that last note from the end of the edited album track for an additional ~0.2 secs. before the following track starts. Not sure how or why this is there since it's not accounted for by just assembling the edited source tracks together.
The Twelve Days of Christmas,Gumbo Christmas,,Summit Records,14,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,01:01.528,The Dixieland Ramblers,13,"The loop track has several edits; the first edit skips over the opening cymbal taps and another edit removes the vocals but the reasons for the others are not clear so I'm just going to list the edit points.  This loop track also has a section that repeats part of the album track.
The loop track is assembled from these sections of the album track in the order listed:
    00:00:02.851 to 00:00:15.802
    00:00:17.217 to 00:00:20.244
    00:00:08.071 to 00:00:31.421  <- repeated section
    00:01:29.393 to 00:01:51.593"
I'll Be Home for Christmas,Christmas Time with Magnolia Jazzband,,GHB Records,4,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:19.006,Magnolia Jazzband,9,The loop track starts at 00:00:05.344 of the album track to skip over applause. The section of album track between 00:02:03.534 and 00:03:41.265 is deleted to remove applause. The loop track ends at 00:04:01.745 of the album track with a ~1 sec. fade to complete silence to omit applause.
Jingle Bells,Christmas with Travelin' Light,,GHB Records,3,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,03:44.058,Travelin' Light,10,The loop track starts at 00:00:00.190 of the album track. The section of the album track between 00:02:55.757 and 00:03:56.328 is deleted to omit a slower tempo part of the breakdown.
Joy to the World,Crescent City Christmas,,GHB Records,6,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,02:43.445,Lars Edegran & His Santa Claus Revelers,12,"The loop track starts at 00:00:00.519 of the album track.  The section of the album track between 00:00:28.565 and 00:01:13.802 is deleted to omit vocals.  This loop track also has a section that repeats part of the album track.  The section of album track from 00:03:05.362 to the end is replaced by the section of album track between 00:00:05.123 and 00:00:28.565 to omit vocals.  The track ends with a ~1 sec. exponential fade out to near silence.
The loop track is assembled from these sections of the album track in the order listed:
    00:00:00.519 to 00:00:28.565
    00:01:13.802 to 00:03:05.362
    00:00:05.123 to 00:00:28.565  <- repeated section"
O' Tannenbaum,Christmas Time with Magnolia Jazzband,,GHB Records,12,,Christmas,Frontierland,Rivers of America Holiday v.1 [REF],,,03:50.934,Magnolia Jazzband,8,The loop track starts at 00:00:00.340 of the album track. The section of the album track between 00:02:17.124 and 00:05:01.001 is deleted to omit the horn and piano solos. The loop track ends at 00:06:34.710 of the album track to omit the applause.
Give Him Cornbread,Zydeco's Greatest Hits,,,,,,New Orleans Square,French Market Patio,"This Zydeco loop previously played at the French Market patio between live music sets. It was replaced by the Tiana’s Palace exterior loop in 2023. See MouseBits: https://mousebits.com/smf/index.php?topic=7140.msg60808#msg60808 (2012). Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time. The latest tracks in the loop date to 1996, which is the earliest the loop would have been installed.",1:02:10.643,4:52.998,Beau Jocque & the Zydeco Hi-Rollers,1,Starts with a 1.8 sec. silent gap
Follow Me Chicken,Zydeco's Greatest Hits,,,,,,New Orleans Square,French Market Patio,,,3:59.634,Nathan & the Zydeco Cha Chas,11,
Le Jig Francais,Bayou Deluxe: The Best of Michael Doucet & Beausoleil,,Rhino Records,,,,New Orleans Square,French Market Patio,,,4:36.751,"BeauSoleil, Michael Doucet",15,
J'Ai Eté Au Zydeco (I Went To The Zydeco),Allons a Lafayette & More,,,,,,New Orleans Square,French Market Patio,,,4:57.327,"BeauSoleil, Canray Fontenot",16,
Your Mama Don't Know,Zydeco's Greatest Hits,,,,,,New Orleans Square,French Market Patio,,,4:34.009,Nathan & the Zydeco Cha Chas,2,
Chere Mama,Lisa Haley & the Zydekats,,,,,,New Orleans Square,French Market Patio,,,4:05.537,Lisa Haley & the Zydekats,7,
Coeur des Cajuns (Heart of the Cajuns),Coeur des Cajuns,,,,,,New Orleans Square,French Market Patio,,,2:56.543,Bruce Daigrepont,5,
Hot Tamale Baby,Zydeco's Greatest Hits,,,,,,New Orleans Square,French Market Patio,,,2:54.316,Clifton Chenier,6,
Les Grands Bois,Cajun Life,,,,,,New Orleans Square,French Market Patio,,,2:56.478,Jo-El Sonnier,4,
Let the Good Times Roll,Buckwheat’s Zydeco Party,,,,,,New Orleans Square,French Market Patio,,,4:57.295,Buckwheat Zydeco,14,
Zydeco Pas Salee,Lisa Haley & the Zydekats,,,,,,New Orleans Square,French Market Patio,,,4:19.422,Lisa Haley & the Zydekats,3,
Canray's Contredanse,Hot Chili Mama,,,,,,New Orleans Square,French Market Patio,,,2:00.275,"BeauSoleil, Michael Doucet",13,
Outside People,Bayou Dance Party,,,,,,New Orleans Square,French Market Patio,,,3:42.858,Nathan & the Zydeco Cha Chas,8,
I Gotta Secret,Lisa Haley & the Zydekats,,,,,,New Orleans Square,French Market Patio,,,3:21.250,Lisa Haley & the Zydekats,10,
Zydeco Gris-Gris,Bayou Dance Party,,,,,,New Orleans Square,French Market Patio,,,3:37.318,BeauSoleil,9,
La Point-au-Pic,Bayou Dance Party,,,,,,New Orleans Square,French Market Patio,,,4:18.622,Steve Riley & The Mamou Playboys,12,
Carol of the Bells,Haunted Mansion Holiday Seance Room [original Goodwin; Unreleased],,,,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,This tracklist played in the French Market seating area during the holiday season. Preliminary track list compiled by pixelated based on a 2011 reference recording. See MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg47961#msg47961 (2011). The initial post also has edit points for all tracks. Track 13 was identified in this post: https://mousebits.com/smf/index.php?topic=6912.msg60609#msg60609 (2012). All HMH tracks appear to be from the original 2001 Goodwin score.,00:55:56.653,2:05.680,,1,
Carol of the Bells,Haunted Mansion Holiday Ballroom [original Goodwin; Unreleased],,,,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,1:07.900,,9,
Haunted Mansion Holiday Foyer Music [no vocals],Haunted Mansion Holiday Foyer [original Goodwin; Unreleased],,,,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,1:13.747,,5,
Etiquette Lesson,Edward Scissorhands,,,8,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,1:32.193,,10,
Young Ichabod,Sleepy Hollow,,,3,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,1:15.567,,8,
Jack and Sally Montage,Tim Burton's The Nightmare Before Christmas,,,8,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,5:14.718,,11,
The Final Confrontation,Edward Scissorhands,,,13,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,2:15.992,,14,
Introduction (Titles),Edward Scissorhands,,,,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,2:12.799,,2,
Introduction,Sleepy Hollow,,,1,,"Christmas, Halloween",New Orleans Square,French Market Patio Holiday,,,1:12.556,,4,Cut short/edited [edit points unknown]
